dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed
mnist,mlp,fedavg,gaussian_noise,0.0,0.5,6,0.759,1.61107470703125,0.7166795569267582,0,0,0.0,0.0,0.0,0.29949999999878685,4070800,210.43919999999972,2026
mnist,mlp,fedavg,gaussian_noise,0.0,0.5,7,0.77,1.4760762329101562,0.729969829847285,0,0,0.0,0.0,0.0,0.2875000000006622,4070800,212.76080000000164,2026
mnist,mlp,fedavg,gaussian_noise,0.0,0.5,8,0.773,1.350772186279297,0.7408260698531761,0,0,0.0,0.0,0.0,0.37479999999945335,4070800,242.38880000000051,2026
mnist,mlp,fedavg,gaussian_noise,0.0,0.5,9,0.794,1.238863250732422,0.7623477237010508,0,0,0.0,0.0,0.0,0.318199999998825,4070800,229.1168999999993,2026
mnist,mlp,fedavg,gaussian_noise,0.0,0.5,10,0.805,1.1419967041015624,0.7772885326803981,0,0,0.0,0.0,0.0,0.3571999999998354,4070800,206.21610000000067,2026
mnist,mlp,fedavg,gaussian_noise,0.2,0.5,1,0.097,3.7381822509765623,0.0455949132302273,0,0,0.0,0.0,0.0,0.2888999999992592,4070800,217.55740000000046,2026
mnist,mlp,fedavg,gaussian_noise,0.2,0.5,2,0.147,5.655690673828125,0.09859958457428211,0,0,0.0,0.0,0.0,0.290100000000848,4070800,213.93810000000002,2026
mnist,mlp,fedavg,gaussian_noise,0.2,0.5,3,0.205,6.483521850585937,0.18379738483513647,0,0,0.0,0.0,0.0,0.30059999999920706,4070800,214.97399999999976,2026
mnist,mlp,fedavg,gaussian_noise,0.2,0.5,4,0.246,7.4307667236328125,0.20886549161917028,0,0,0.0,0.0,0.0,0.2876000000000545,4070800,216.09560000000096,2026
mnist,mlp,fedavg,gaussian_noise,0.2,0.5,5,0.293,7.954047607421875,0.26909587860365963,0,0,0.0,0.0,0.0,0.28160000000099217,4070800,217.94080000000093,2026
mnist,mlp,fedavg,gaussian_noise,0.2,0.5,6,0.325,9.250300537109375,0.305584170163547,0,0,0.0,0.0,0.0,0.6246999999994785,4070800,203.78129999999928,2026
mnist,mlp,fedavg,gaussian_noise,0.2,0.5,7,0.347,10.665959228515625,0.33602166418626767,0,0,0.0,0.0,0.0,0.31820000000060134,4070800,205.29729999999978,2026
mnist,mlp,fedavg,gaussian_noise,0.2,0.5,8,0.394,9.947830078125,0.37559518894907773,0,0,0.0,0.0,0.0,0.3039000000004677,4070800,212.89110000000022,2026
mnist,mlp,fedavg,gaussian_noise,0.2,0.5,9,0.374,10.613619384765625,0.3757878080806139,0,0,0.0,0.0,0.0,0.2718999999995475,4070800,219.88640000000004,2026
mnist,mlp,fedavg,gaussian_noise,0.2,0.5,10,0.343,12.5024609375,0.3426818840188546,0,0,0.0,0.0,0.0,0.2875000000006622,4070800,218.88620000000003,2026
mnist,mlp,krum,label_flip,0.0,0.5,1,0.181,2.2305480346679687,0.1058082494087899,0,0,0.0,0.0,0.0,4.051600000000377,4070800,217.77119999999962,2026
mnist,mlp,krum,label_flip,0.0,0.5,2,0.361,2.130976318359375,0.30766290774456945,0,0,0.0,0.0,0.0,3.6202999999996877,4070800,223.06930000000057,2026
mnist,mlp,krum,label_flip,0.0,0.5,3,0.601,2.0152457275390625,0.5528135571631732,0,0,0.0,0.0,0.0,3.256900000000229,4070800,215.1008000000001,2026
mnist,mlp,krum,label_flip,0.0,0.5,4,0.719,1.8863336486816407,0.6729138940828536,0,0,0.0,0.0,0.0,3.1450999999993456,4070800,216.27000000000152,2026
mnist,mlp,krum,label_flip,0.0,0.5,5,0.754,1.7491260375976563,0.7084001498712383,0,0,0.0,0.0,0.0,3.171800000000502,4070800,217.88369999999802,2026
mnist,mlp,krum,label_flip,0.0,0.5,6,0.759,1.61107470703125,0.7166795569267582,0,0,0.0,0.0,0.0,3.3551000000002773,4070800,211.9251999999996,2026
mnist,mlp,krum,label_flip,0.0,0.5,7,0.77,1.4760762329101562,0.729969829847285,0,0,0.0,0.0,0.0,3.1303999999998666,4070800,211.041299999998,2026
mnist,mlp,krum,label_flip,0.0,0.5,8,0.773,1.350772216796875,0.7408260698531761,0,0,0.0,0.0,0.0,3.0831999999989534,4070800,215.19879999999958,2026
mnist,mlp,krum,label_flip,0.0,0.5,9,0.794,1.2388632202148437,0.7623477237010508,0,0,0.0,0.0,0.0,3.189700000000073,4070800,208.96499999999918,2026
mnist,mlp,krum,label_flip,0.0,0.5,10,0.805,1.1419967041015624,0.7772885326803981,0,0,0.0,0.0,0.0,3.204600000000113,4070800,216.0934999999995,2026
mnist,mlp,krum,label_flip,0.2,0.5,1,0.145,2.2530733032226564,0.05413199270971476,1,1,0.5,0.125,0.0,3.224899999999309,4070800,217.62640000000033,2026
mnist,mlp,krum,label_flip,0.2,0.5,2,0.16,2.191713562011719,0.07293825277028573,1,1,0.5,0.125,0.0,3.1554000000006965,4070800,219.54210000000174,2026
mnist,mlp,krum,label_flip,0.2,0.5,3,0.227,2.1193934020996092,0.14260527480803686,1,1,0.5,0.125,0.0,3.2645000000002256,4070800,221.06009999999898,2026
