dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed,sketch_dim,public_validation_samples,protocol_online_bytes,protocol_offline_bytes,secure_multiplications
mnist,tiny_cnn,pp_srsf_trust,sign_flip,0.4,0.5,15,0.483,1.8186119995117187,0.416502974368422,4,0,1.0,0.0,20.530300000018542,5.801199999950768,4239760,762.650800000074,2180,32,600,46800,69120,1440
mnist,tiny_cnn,fedgt_proxy,sign_flip,0.4,0.5,1,0.103,2.311197082519531,0.018710263396911897,2,2,0.5,0.3333333333333333,0.0,6.043100000056256,16938560,667.3792999999932,2180,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,sign_flip,0.4,0.5,2,0.102,2.3201589965820313,0.018511796733212342,3,1,0.75,0.16666666666666666,0.0,5.601400000045942,16938560,713.1024999999909,2180,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,sign_flip,0.4,0.5,3,0.11,2.341750183105469,0.03655623081881946,3,1,0.75,0.16666666666666666,0.0,6.637800000021343,16938560,669.8238000000174,2180,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,sign_flip,0.4,0.5,4,0.103,2.40261279296875,0.018676337262012694,3,1,0.75,0.16666666666666666,0.0,6.884300000024268,16938560,670.2860000000328,2180,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,sign_flip,0.4,0.5,5,0.102,2.6404320068359377,0.018511796733212342,3,1,0.75,0.16666666666666666,0.0,6.548599999973703,16938560,680.9501000000182,2180,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,sign_flip,0.4,0.5,6,0.102,4.073141052246093,0.018511796733212342,3,1,0.75,0.16666666666666666,0.0,6.322800000020834,16938560,677.2119999999404,2180,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,sign_flip,0.4,0.5,7,0.102,17.92506298828125,0.018511796733212342,2,2,0.5,0.3333333333333333,0.0,6.4462999999932435,16938560,669.9551000000383,2180,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,sign_flip,0.4,0.5,8,0.105,2.665882263183594,0.019004524886877826,4,0,1.0,0.0,0.0,5.7141000000910935,16938560,671.7423000000053,2180,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,sign_flip,0.4,0.5,9,0.138,3.4609891357421874,0.07201477767515503,3,1,0.75,0.16666666666666666,0.0,6.140999999956875,16938560,667.4694999999247,2180,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,sign_flip,0.4,0.5,10,0.097,2.693921630859375,0.017684594348222425,4,0,1.0,0.0,0.0,5.9751999999662075,16938560,676.9589000000451,2180,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,sign_flip,0.4,0.5,11,0.1,3.0458202514648436,0.01818181818181818,3,1,0.75,0.16666666666666666,0.0,5.631000000107633,16938560,677.5187000000642,2180,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,sign_flip,0.4,0.5,12,0.1,3.578113525390625,0.01818181818181818,3,1,0.75,0.16666666666666666,0.0,6.452800000033676,16938560,672.8213999999753,2180,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,sign_flip,0.4,0.5,13,0.185,2.8098541259765626,0.06788812179146751,4,0,1.0,0.0,0.0,5.306900000050518,16938560,690.2718999999706,2180,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,sign_flip,0.4,0.5,14,0.102,3.1522830810546876,0.018511796733212342,3,1,0.75,0.16666666666666666,0.0,5.181199999924502,16938560,693.2577000000038,2180,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,sign_flip,0.4,0.5,15,0.1,3.8684012451171874,0.01818181818181818,3,1,0.75,0.16666666666666666,0.0,5.229199999917,16938560,689.864899999975,2180,32,600,0,0,0
mnist,tiny_cnn,fedavg,sign_flip,0.5,0.5,1,0.103,2.3118367309570313,0.018676337262012694,0,0,0.0,0.0,0.0,0.2980000000434302,4234640,409.7408999999743,2180,32,600,0,0,0
mnist,tiny_cnn,fedavg,sign_flip,0.5,0.5,2,0.103,2.3364136962890627,0.018676337262012694,0,0,0.0,0.0,0.0,0.2866999999469044,4234640,402.15619999992214,2180,32,600,0,0,0
mnist,tiny_cnn,fedavg,sign_flip,0.5,0.5,3,0.103,2.5826197509765625,0.018676337262012694,0,0,0.0,0.0,0.0,0.3143999999792868,4234640,465.2902999999924,2180,32,600,0,0,0
mnist,tiny_cnn,fedavg,sign_flip,0.5,0.5,4,0.103,8.77542431640625,0.018676337262012694,0,0,0.0,0.0,0.0,0.3026000000545537,4234640,465.6853000000183,2180,32,600,0,0,0
mnist,tiny_cnn,fedavg,sign_flip,0.5,0.5,5,0.103,232.28978125,0.018676337262012694,0,0,0.0,0.0,0.0,0.8479000000534143,4234640,454.5958999999584,2180,32,600,0,0,0
mnist,tiny_cnn,fedavg,sign_flip,0.5,0.5,6,0.103,417856.28,0.018676337262012694,0,0,0.0,0.0,0.0,0.3145000000586151,4234640,466.8969000000516,2180,32,600,0,0,0
