dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed,sketch_dim,public_validation_samples,protocol_online_bytes,protocol_offline_bytes,secure_multiplications
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,19,0.589,1.4488873901367187,0.5326842977784086,1,1,0.5,0.125,18.58879999997498,11.086399999953755,4239760,445.24569999998675,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,20,0.581,1.347198486328125,0.5041867936078509,2,0,1.0,0.0,17.99030000000812,9.291899999993802,4239760,455.4672999999525,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,label_flip,0.2,0.5,1,0.101,2.306670349121094,0.01834695731153497,1,1,0.5,0.125,17.92790000001787,10.89230000002317,4239760,779.7962999999868,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,label_flip,0.2,0.5,2,0.101,2.304794128417969,0.01834695731153497,1,1,0.5,0.125,20.925700000020697,11.423499999978048,4239760,800.3161999999975,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,label_flip,0.2,0.5,3,0.101,2.3017457885742187,0.01834695731153497,1,1,0.5,0.125,19.11470000004556,10.556000000008225,4239760,785.1205999999706,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,label_flip,0.2,0.5,4,0.101,2.299023620605469,0.018363636363636363,1,1,0.5,0.125,18.671000000040294,9.09820000003947,4239760,767.0251999999778,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,label_flip,0.2,0.5,5,0.176,2.301990905761719,0.06240565317932645,1,1,0.5,0.125,19.262600000047314,9.14290000002893,4239760,767.7624000000378,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,label_flip,0.2,0.5,6,0.163,2.300282958984375,0.06958727248945487,1,1,0.5,0.125,19.051300000000992,11.621700000034707,4239760,788.2924999999545,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,label_flip,0.2,0.5,7,0.19,2.2987611083984376,0.10341050535225291,1,1,0.5,0.125,17.980300000033367,12.483400000007805,4239760,768.6716999999703,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,label_flip,0.2,0.5,8,0.11,2.3073505859375,0.01981981981981982,1,1,0.5,0.125,17.55380000003015,9.320900000034271,4239760,777.8149000000099,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,label_flip,0.2,0.5,9,0.104,2.274106201171875,0.02352529073840549,1,1,0.5,0.125,20.01749999999447,10.53180000002385,4239760,756.8312000000219,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,label_flip,0.2,0.5,10,0.213,2.235496154785156,0.14567351241321655,1,1,0.5,0.125,21.127599999999802,9.669799999983297,4239760,760.8528999999749,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,label_flip,0.2,0.5,11,0.199,2.194033935546875,0.08159581646423751,1,1,0.5,0.125,17.93230000004087,9.122900000022582,4239760,757.8224000000091,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,label_flip,0.2,0.5,12,0.464,2.1271956481933594,0.36289193165932376,1,1,0.5,0.125,21.87989999998763,12.913099999991573,4239760,781.9948999999724,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,label_flip,0.2,0.5,13,0.36,2.061164794921875,0.2715094552845446,1,1,0.5,0.125,19.988599999976486,12.047999999992953,4239760,768.9389999999889,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,label_flip,0.2,0.5,14,0.463,1.966162841796875,0.35731858144369105,1,1,0.5,0.125,19.917299999974603,11.872799999991912,4239760,756.567299999972,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,label_flip,0.2,0.5,15,0.52,1.8424208068847656,0.4427822164225404,1,1,0.5,0.125,17.698999999993248,12.854899999979352,4239760,762.5681999999756,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,label_flip,0.2,0.5,16,0.499,1.774886688232422,0.5052129993743854,0,2,0.0,0.25,19.44340000000011,12.334500000008575,4239760,763.3994000000257,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,label_flip,0.2,0.5,17,0.531,1.6556554565429686,0.4509241746493157,0,2,0.0,0.25,21.927199999993263,11.940600000002632,4239760,760.0850999999693,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,label_flip,0.2,0.5,18,0.46,1.6286330261230468,0.4326960364815843,1,1,0.5,0.125,18.13920000000735,11.006299999962721,4239760,754.6851000000174,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,label_flip,0.2,0.5,19,0.575,1.471380859375,0.5344199163877574,0,2,0.0,0.25,20.484899999985373,10.421599999972386,4239760,782.2778000000312,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,label_flip,0.2,0.5,20,0.524,1.4739520263671875,0.4743021394650748,1,1,0.5,0.125,18.78790000000663,10.3710999999862,4239760,766.1327999999799,2141,32,600,46800,69120,1440
mnist,tiny_cnn,fedgt_proxy,label_flip,0.2,0.5,1,0.101,2.30583447265625,0.01834695731153497,1,1,0.5,0.125,0.0,9.536999999966156,16938560,685.9479999999962,2141,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,label_flip,0.2,0.5,2,0.097,2.3034708251953124,0.017863720073664824,0,2,0.0,0.25,0.0,9.314500000016324,16938560,680.1128000000176,2141,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,label_flip,0.2,0.5,3,0.112,2.3020626220703124,0.027645687645687644,1,1,0.5,0.125,0.0,10.612799999989875,16938560,674.97979999996,2141,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,label_flip,0.2,0.5,4,0.101,2.298146301269531,0.018380345768880802,1,1,0.5,0.125,0.0,10.288599999967118,16938560,681.5996999999925,2141,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,label_flip,0.2,0.5,5,0.103,2.303372497558594,0.02179914918768422,1,1,0.5,0.125,0.0,11.734699999976783,16938560,667.8661999999917,2141,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,label_flip,0.2,0.5,6,0.136,2.2928214111328127,0.05692670731524021,0,2,0.0,0.25,0.0,9.685099999956037,16938560,685.1619999999912,2141,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,label_flip,0.2,0.5,7,0.101,2.294976257324219,0.01834695731153497,2,0,1.0,0.0,0.0,9.453000000007705,16938560,668.9992999999959,2141,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,label_flip,0.2,0.5,8,0.169,2.280092834472656,0.09040784162603072,1,1,0.5,0.125,0.0,11.666300000001684,16938560,685.7138999999961,2141,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,label_flip,0.2,0.5,9,0.213,2.240475067138672,0.12160389347363572,0,2,0.0,0.25,0.0,9.905000000003383,16938560,674.0065000000186,2141,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,label_flip,0.2,0.5,10,0.24,2.2324037170410156,0.13120509390366286,0,2,0.0,0.25,0.0,12.358599999970465,16938560,692.6842000000306,2141,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,label_flip,0.2,0.5,11,0.221,2.176881134033203,0.13059071021496582,0,2,0.0,0.25,0.0,10.870599999975639,16938560,679.8696000000177,2141,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,label_flip,0.2,0.5,12,0.359,2.1459717407226564,0.2162249472587614,1,1,0.5,0.125,0.0,10.469600000021728,16938560,677.474200000006,2141,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,label_flip,0.2,0.5,13,0.335,2.050975128173828,0.23577308813414585,0,2,0.0,0.25,0.0,10.105799999962528,16938560,661.4825000000337,2141,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,label_flip,0.2,0.5,14,0.338,1.983206787109375,0.22188243543507732,1,1,0.5,0.125,0.0,11.664099999961763,16938560,696.5543000000025,2141,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,label_flip,0.2,0.5,15,0.274,1.909339599609375,0.16110509225935155,1,1,0.5,0.125,0.0,10.323799999980565,16938560,719.8738000000162,2141,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,label_flip,0.2,0.5,16,0.474,1.7945433349609374,0.44306105883352603,1,1,0.5,0.125,0.0,12.429999999994834,16938560,714.8353000000043,2141,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,label_flip,0.2,0.5,17,0.519,1.6874014892578124,0.5101770722373865,0,2,0.0,0.25,0.0,10.76580000000149,16938560,678.8986999999906,2141,32,600,0,0,0
