dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed,sketch_dim,public_validation_samples,protocol_online_bytes,protocol_offline_bytes,secure_multiplications,fedgt_estimated_malicious,fedgt_positive_tests
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,5,0.201,2.286536926269531,0.07885928238348194,1,1,0.5,0.125,0.0,368.33560000000176,20326272,1167.8119999999979,2143,32,600,20326272,0,0,2,5
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,6,0.197,2.2857904052734375,0.11872582004507035,0,2,0.0,0.25,0.0,383.2182999999958,20326272,1202.2005999999976,2143,32,600,20326272,0,0,2,6
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,7,0.322,2.270150695800781,0.26282188155541025,0,0,0.0,0.0,0.0,376.976599999999,21173200,1198.127900000003,2143,32,600,21173200,0,0,0,3
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,8,0.215,2.2364376220703126,0.13723035748953044,0,2,0.0,0.25,0.0,387.15179999999805,20326272,1245.3061000000005,2143,32,600,20326272,0,0,2,6
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,9,0.212,2.2554935913085936,0.11746571140014708,1,2,0.5,0.25,0.0,388.7240000000034,19902808,1203.5772999999992,2143,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,10,0.311,2.1528277587890625,0.25010638341638536,2,1,1.0,0.125,0.0,374.8835999999969,19902808,1173.7383999999977,2143,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,11,0.354,2.1011427612304687,0.20729766735016172,0,2,0.0,0.25,0.0,452.87330000000736,20326272,1261.9526000000008,2143,32,600,20326272,0,0,2,6
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,12,0.499,2.0297948303222655,0.4249468163915937,1,1,0.5,0.125,0.0,368.69489999999416,20326272,1152.8021999999964,2143,32,600,20326272,0,0,2,6
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,13,0.395,2.0052996826171876,0.28785974565570427,0,3,0.0,0.375,0.0,367.7083000000039,19902808,1216.7692000000015,2143,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,14,0.519,1.866169708251953,0.4073852057202405,0,0,0.0,0.0,0.0,381.5379000000121,21173200,1225.960200000003,2143,32,600,21173200,0,0,0,3
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,15,0.389,1.868554901123047,0.2991353547885661,0,3,0.0,0.375,0.0,365.49970000000087,19902808,1158.2585000000022,2143,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,16,0.43,1.7189895629882812,0.324970314642277,1,2,0.5,0.25,0.0,390.7864000000103,19902808,1254.975399999992,2143,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,17,0.553,1.5058191833496093,0.4832409282550116,2,1,1.0,0.125,0.0,312.89639999999963,19902808,1099.8632999999954,2143,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,18,0.579,1.35116845703125,0.5218477627976599,2,1,1.0,0.125,0.0,368.1959999999975,19902808,1163.2837000000081,2143,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,19,0.583,1.3165685119628907,0.5063190442421954,1,2,0.5,0.25,0.0,358.3600000000047,19902808,1189.7354000000037,2143,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,20,0.635,1.1882434997558593,0.5872851471939546,1,2,0.5,0.25,0.0,370.6463000000042,19902808,1179.304600000009,2143,32,600,19902808,0,0,3,7
